DT_CTBIL;SG_EMPRE;CD_CANAL_VENDA;CD_PRODUTO;CD_LOCAL_DEBITO;CD_LOCAL_CREDITO;VL_PREMT;QT_PREMT;CD_CNAPE
30/11/2024;RPS;2;940;9217;9623;262,38;0;107113
30/11/2024;RPS;2;941;9217;9623;238,2;0;107113
30/11/2024;RPS;2;116;9266;9623;434,98;0;107113
30/11/2024;RPS;2;208;9266;9623;529,36;0;107113
30/11/2024;RPS;2;310;9266;9623;12208,9;0;107113
30/11/2024;RPS;2;311;9266;9623;2161,15;0;107113
30/11/2024;RPS;2;315;9266;9623;2286,78;0;107113
30/11/2024;RPS;2;316;9266;9623;3564,78;0;107113
30/11/2024;RPS;2;327;9266;9623;1022,18;0;107113
30/11/2024;RPS;2;335;9266;9623;341,39;0;107113
30/11/2024;RPS;2;530;9266;9623;4327,22;0;107113
30/11/2024;RPS;2;531;9266;9623;657,64;0;107113
30/11/2024;RPS;2;535;9266;9623;1013,85;0;107113
30/11/2024;RPS;2;536;9266;9623;897,82;0;107113
30/11/2024;RPS;2;539;9266;9623;214,93;0;107113
30/11/2024;RPS;2;789;9266;9623;1;0;107113
30/11/2024;RPS;2;812;9266;9623;184,12;0;107113
30/11/2024;RPS;2;815;9266;9623;60,02;0;107113
30/11/2024;RPS;2;816;9266;9623;60,19;0;107113
30/11/2024;RPS;2;817;9266;9623;12,59;0;107113
30/11/2024;RPS;2;827;9288;9783;208,44;0;107113
30/11/2024;RPS;2;116;9297;9623;209,62;0;107113
30/11/2024;RPS;2;208;9297;9623;266,29;0;107113
30/11/2024;RPS;2;310;9297;9623;10437,7;0;107113
30/11/2024;RPS;2;316;9297;9623;1230,61;0;107113
30/11/2024;RPS;2;327;9297;9623;201,8;0;107113
30/11/2024;RPS;2;530;9297;9623;3140,71;0;107113
30/11/2024;RPS;2;536;9297;9623;548,71;0;107113
30/11/2024;RPS;2;539;9297;9623;32,06;0;107113
30/11/2024;RPS;2;812;9297;9623;81,36;0;107113
30/11/2024;RPS;2;817;9297;9623;8,17;0;107113
30/11/2024;RPS;2;116;9298;9623;906,48;0;107113
30/11/2024;RPS;2;117;9298;9623;936,46;0;107113
30/11/2024;RPS;2;208;9298;9623;1525,97;0;107113
30/11/2024;RPS;2;310;9298;9623;25242,55;0;107113
30/11/2024;RPS;2;315;9298;9623;16514,51;0;107113
30/11/2024;RPS;2;322;9298;9623;1386,95;0;107113
30/11/2024;RPS;2;324;9298;9623;8,1;0;107113
30/11/2024;RPS;2;326;9298;9623;531,19;0;107113
30/11/2024;RPS;2;327;9298;9623;1619,53;0;107113
30/11/2024;RPS;2;517;9298;9623;41,18;0;107113
30/11/2024;RPS;2;530;9298;9623;6796,86;0;107113
30/11/2024;RPS;2;535;9298;9623;5496,75;0;107113
30/11/2024;RPS;2;539;9298;9623;206,13;0;107113
30/11/2024;RPS;2;760;9298;9623;265,36;0;107113
30/11/2024;RPS;2;812;9298;9623;385,45;0;107113
30/11/2024;RPS;2;815;9298;9623;168,45;0;107113
30/11/2024;RPS;2;116;9301;9623;91,46;0;107113
30/11/2024;RPS;2;208;9301;9623;217,06;0;107113
30/11/2024;RPS;2;310;9301;9623;6088,17;0;107113
30/11/2024;RPS;2;315;9301;9623;2774,2;0;107113
30/11/2024;RPS;2;530;9301;9623;1499,68;0;107113
30/11/2024;RPS;2;535;9301;9623;969,5;0;107113
30/11/2024;RPS;2;544;9301;9623;350;0;107113
30/11/2024;RPS;2;812;9301;9623;85,79;0;107113
30/11/2024;RPS;2;815;9301;9623;62,05;0;107113
30/11/2024;RPS;2;116;9321;9623;81,26;0;107113
30/11/2024;RPS;2;310;9321;9623;2443,98;0;107113
30/11/2024;RPS;2;315;9321;9623;881,95;0;107113
30/11/2024;RPS;2;327;9321;9623;207,19;0;107113
30/11/2024;RPS;2;530;9321;9623;796,27;0;107113
30/11/2024;RPS;2;535;9321;9623;363,96;0;107113
30/11/2024;RPS;2;539;9321;9623;45,17;0;107113
30/11/2024;RPS;2;812;9321;9623;31,89;0;107113
30/11/2024;RPS;2;815;9321;9623;11,94;0;107113
30/11/2024;RPS;2;116;9327;9623;157,42;0;107113
30/11/2024;RPS;2;208;9327;9623;52,3;0;107113
30/11/2024;RPS;2;310;9327;9623;5053,95;0;107113
30/11/2024;RPS;2;315;9327;9623;2432,93;0;107113
30/11/2024;RPS;2;322;9327;9623;487,44;0;107113
30/11/2024;RPS;2;326;9327;9623;124,97;0;107113
30/11/2024;RPS;2;327;9327;9623;298,02;0;107113
30/11/2024;RPS;2;530;9327;9623;1360,63;0;107113
30/11/2024;RPS;2;535;9327;9623;787,3;0;107113
30/11/2024;RPS;2;539;9327;9623;168,32;0;107113
30/11/2024;RPS;2;789;9327;9623;1;0;107113
30/11/2024;RPS;2;812;9327;9623;62,97;0;107113
30/11/2024;RPS;2;815;9327;9623;9,65;0;107113
30/11/2024;RPS;2;116;9329;9623;606,12;0;107113
30/11/2024;RPS;2;208;9329;9623;3179,79;0;107113
30/11/2024;RPS;2;310;9329;9623;41331,6;0;107113
